"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"O43390;O43390-2;Q2L7G6;E7ETM7"	1.13527082366357	32.55706826842	17.6507248075454	2.82962578580782e-08	1.85868842125808e-05	9.77499264718522
"P07355;P07355-2;H0YN42;H0YMD0;H0YMU9;H0YM50;A6NMY6;H0YKS4;B3KRQ1"	1.25083387653927	32.3943509672731	17.336767571766	3.31017324862014e-08	1.85868842125808e-05	9.62825554623956
"P14618;P14618-2;P14618-3;E9PF79;H3BTN5;Q504U3;E7EUJ4"	1.02859089399616	34.225631475437	17.2620405867033	3.43745510920471e-08	1.85868842125808e-05	9.59284237857093
"P04075;H3BQN4;H3BPS8"	1.09097408250728	32.9318537562164	16.4163034409958	5.32742043610565e-08	1.85868842125808e-05	9.17842812316867
"B7Z4V2;P38646;F5H3L8"	1.2195597779624	32.1933068941551	15.7682501541043	7.56267941495112e-08	1.85868842125808e-05	8.84300017070601
"P0ADU2"	-1.78043661791318	27.7565691556103	-15.6432766436801	8.10386208699961e-08	1.85868842125808e-05	8.77642690883156
"O00299"	1.20243482282092	30.7279728773851	15.6025770729267	8.28926075489322e-08	1.85868842125808e-05	8.75461066215516
"P07913"	-1.68972560738422	28.8174577597422	-15.5008557723825	8.77351745061046e-08	1.85868842125808e-05	8.69979062922469
"P00864"	-1.16143977509148	30.7309444361298	-15.2446428385994	1.01381313558562e-07	1.85868842125808e-05	8.55982165707499
"P07900;P07900-2;Q86U12"	1.04059720102939	32.5731524814972	14.9995600416609	1.16665500325172e-07	1.85868842125808e-05	8.42334490051778
"P0ACA3"	-1.16413463845455	30.3627605972817	-14.9715018042106	1.18572324750772e-07	1.85868842125808e-05	8.40755577364112
"Q01081;Q01081-4"	1.60469725555934	31.376503278281	14.5466933644891	1.52093001029342e-07	1.85868842125808e-05	8.16426306914991
"P07118"	-1.04864722142762	30.7626339314408	-14.5225611774511	1.54290474270482e-07	1.85868842125808e-05	8.15019910312991
"P0A7D4"	-1.0012564814485	31.737890881666	-14.4819642177345	1.58066977540859e-07	1.85868842125808e-05	8.12647956993788
"P33602"	-1.14650282113953	30.3051265642284	-14.3029443790934	1.75986409016847e-07	1.85868842125808e-05	8.02097653460494
"P60174-1;P60174;B7Z5D8"	1.09047044921989	33.1247307923101	14.2965939971149	1.76662109810626e-07	1.85868842125808e-05	8.01720661577382
"P30101;B3KQT9;G5EA52;F5H119"	1.01644900678975	32.7338048141908	14.2896913869473	1.77399828800737e-07	1.85868842125808e-05	8.01310672013057
"P05386"	1.68199608619852	30.4004370294925	14.1963934310971	1.87712999588548e-07	1.85868842125808e-05	7.95747104688313
"P35579;P35579-2"	1.06852243266181	31.5324005616888	14.1703548860076	1.90708528458712e-07	1.85868842125808e-05	7.94187014924228
"P0ADE8"	-1.11227476517687	29.8497767384387	-14.1516773959341	1.92889814271937e-07	1.85868842125808e-05	7.93065973261852
