	AveExpr	Coef.(Intercept)	Coef.groupL	t.(Intercept)	t.groupL	P.value.(Intercept)	P.value.groupL	F	F.p.value
A0AV96;B7Z8Z7;A0AV96-2;D6R9D6	27.5327142636962	27.250702523041	0.564023481310386	274.79330779512	4.02170893500915	6.37908917516196e-19	0.00302935222353263	77090.4382913387	1.00154226653125e-19
A0AVT1;A0AVT1-2	25.5235994383008	25.0434059715597	0.96038693348224	169.483331342789	4.59583938792391	4.86959843562667e-17	0.00130871241751003	29847.2779824135	7.06629971221397e-18
H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;C9JGI7;A0FGR8-4	26.1058717382028	25.7520979805817	0.707547515242182	244.769398946167	4.75537880366803	1.80114253651911e-18	0.00104527446890005	61580.776161599	2.74336535562984e-19
A0JLT2;A0JLT2-2	22.8024736043615	23.0019769327853	-0.399006656847556	57.1881472770841	-0.701465000512752	1.00171026941285e-12	0.50095201909417	3214.24438093921	1.91579388410486e-13
A0MZ66-4;A0MZ66;A0MZ66-3;B7Z7Z9;A0MZ66-5;A0MZ66-6;A0MZ66-2	24.0926607933649	23.7287065822577	0.727908422214344	136.403157600194	2.95877611655428	3.41423691265224e-16	0.0160442608139938	19185.3331268527	5.12944481585676e-17
A1A528;O43264	24.9484934724192	25.0833237310225	-0.269660517206527	117.896261650687	-0.896225540868281	1.26230286909205e-15	0.393542738931565	13750.9036058945	2.28428947435342e-16
A1L0T0;E9PJS0	27.8291482163276	27.7238585762928	0.210579280069661	345.513877961887	1.85572004954587	8.17461270516252e-20	0.0965709109865804	120290.044813905	1.36102133243245e-20
Q99798;A2A274;F5H2A5;B4DW08;B4DEC3	26.9270017728624	26.6152403218412	0.62352290204233	192.466651398274	3.18832445532095	1.55631094852017e-17	0.0110794310359426	37921.4039949438	2.4143005640141e-18
Q86X10-2;A2A2F0;Q86X10-3;A2A2E9;Q86X10;B4E2E8;Q86X10-4	21.7912226476242	20.8612077678783	1.86002975949173	74.6927215526961	4.70916307936865	7.54997136075428e-14	0.00111517176697144	6098.61464050971	8.74974806161909e-15
A2A2V2;P42696;P42696-2;Q5TCT4	23.8148656878161	23.3945992843039	0.840532807024461	147.137943285687	3.73808129152456	1.73071705140845e-16	0.00466461335453478	22441.3842888928	2.53934398187639e-17
A2RRF3;Q9UBC2;Q9UBC2-2	24.1580408604391	23.8952403376898	0.525601045498573	124.254369522826	1.93259783928843	7.88146591757126e-16	0.085416655702977	15782.4836521034	1.23130705525043e-16
A2RRP1-2;A2RRP1;H0Y5G7	23.708297365197	23.5398600481527	0.336874634088446	143.043284815356	1.44749446285999	2.22924367759054e-16	0.181780089306046	20756.2956588935	3.60385852354858e-17
A3KFJ0;O14965;Q5QPD4	22.9829848395432	22.8121904012239	0.341588876638678	105.689160358098	1.11905693288725	3.36349628492625e-15	0.292179225760463	11338.7130374164	5.425066804771e-16
